BatchFile test, number of cities :=14
ACS Algorithm - LSType Exponential Times = 5
Format:
avgGen avgdist DP AP IP NA AF GP Path1D Path1C Path2D Path2C Path3D Path3C ANTMEET
AntType = None
AntDir = Bidirectional
6.382 3347.554 0.1 0.1 2.2E-5 10 0.15 0.9 3323 68 3336 805 3371 61 128.658340771024
6.233 3345.785 0.1 0.1 2.2E-5 10 0.2 0.9 3323 89 3336 793 3371 62 128.166222904007
6.471 3346.603 0.1 0.1 2.2E-5 10 0.25 0.9 3323 83 3336 779 3371 78 128.603537124529
6.4 3344.476 0.1 0.1 2.2E-5 10 0.3 0.9 3323 89 3336 795 3371 63 128.54111928526
6.423 3346.735 0.1 0.1 2.2E-5 10 0.35 0.9 3323 78 3336 791 3371 72 128.454411221399
6.717 3346.596 0.1 0.1 2.2E-5 10 0.4 0.9 3323 94 3336 775 3371 73 128.80677691949
6.586 3344.697 0.1 0.1 2.2E-5 10 0.45 0.9 3323 87 3336 791 3371 75 128.333098670784
6.886 3346.096 0.1 0.1 2.2E-5 10 0.5 0.9 3323 106 3336 753 3371 87 128.944693808627
6.904 3346.101 0.1 0.1 2.2E-5 10 0.55 0.9 3323 104 3336 754 3371 84 128.929459157477
6.769 3344.573 0.1 0.1 2.2E-5 10 0.6 0.9 3323 103 3336 768 3371 85 129.301382232835
7.211 3344.388 0.1 0.1 2.2E-5 10 0.65 0.9 3323 108 3336 773 3371 68 129.570427005631
6.923 3343.96 0.1 0.1 2.2E-5 10 0.7 0.9 3323 107 3336 758 3371 93 129.453368463256
7.032 3346.089 0.1 0.1 2.2E-5 10 0.75 0.9 3323 103 3336 759 3371 77 128.995544579548
7.304 3346.001 0.1 0.1 2.2E-5 10 0.8 0.9 3323 97 3336 753 3371 92 129.190775716607
7.253 3345.969 0.1 0.1 2.2E-5 10 0.85 0.9 3323 110 3336 750 3371 81 129.594179959641
7.23 3346.547 0.1 0.1 2.2E-5 10 0.9 0.9 3323 102 3336 750 3371 90 129.529865772075
7.199 3345.878 0.1 0.1 2.2E-5 10 0.95 0.9 3323 100 3336 756 3371 95 129.377075759606


